,tempo,temperatura,1,2,3,3_1
113,0:59:00,17.7,0.62,0.107,-0.11,0.769
114,0:59:30,16.8,0.66,0.107,-0.17,0.709
115,1:00:00,15.0,0.706,0.106,-0.22,0.659
116,1:00:30,13.4,0.801,0.106,-0.32,0.559
117,1:01:00,12.1,0.909,0.105,-0.37,0.509
118,1:01:30,11.5,0.874,0.105,-0.41,0.469
119,1:02:00,10.2,0.994,0.104,-0.44,0.439
120,1:02:30,9.2,0.968,0.104,-0.47,0.409
121,1:03:00,8.6,0.964,0.103,-0.49,0.389
122,1:03:30,7.9,0.966,0.103,-0.5,0.379
123,1:04:00,7.9,0.98,0.103,-0.5,0.379
124,1:04:30,7.4,1.002,0.103,-0.51,0.369
125,1:05:00,5.6,1.01,0.103,-0.52,0.359
126,1:05:30,5.2,1.018,0.103,-0.54,0.339
127,1:06:00,5.1,1.043,0.103,-0.54,0.339
128,1:06:30,5.0,1.057,0.103,-0.55,0.329
129,1:07:00,4.6,1.064,0.103,-0.55,0.329
130,1:07:30,4.3,1.071,0.103,-0.56,0.319
131,1:08:00,4.2,1.076,0.103,-0.56,0.319
132,1:08:30,3.5,1.078,0.103,-0.56,0.319
133,1:09:00,3.5,1.08,0.103,-0.57,0.309
134,1:09:30,3.2,1.084,0.103,-0.57,0.309
135,1:10:00,2.8,1.088,0.103,-0.57,0.309
136,1:10:30,2.8,1.094,0.103,-0.57,0.309
137,1:11:00,2.7,1.101,0.103,-0.57,0.309
138,1:11:30,2.7,1.112,0.103,-0.57,0.309
139,1:12:00,2.7,1.119,0.103,-0.57,0.309
140,1:12:30,2.7,1.121,0.103,-0.57,0.309
141,1:13:00,2.4,1.127,0.103,-0.57,0.309
142,1:13:30,2.4,1.13,0.103,-0.57,0.309
143,1:14:00,2.4,1.143,0.103,-0.57,0.309
144,1:14:30,2.4,1.152,0.103,-0.57,0.309
145,1:15:00,2.0,1.161,0.103,-0.57,0.309
146,1:15:30,2.0,1.166,0.103,-0.58,0.299
147,1:16:00,2.0,1.169,0.103,-0.58,0.299
148,1:16:30,2.0,1.173,0.103,-0.58,0.299
149,1:17:00,2.0,1.175,0.103,-0.58,0.299
150,1:17:30,2.0,1.18,0.103,-0.58,0.299
151,1:18:00,2.0,1.183,0.103,-0.58,0.299
152,1:18:30,2.0,1.186,0.103,-0.58,0.299
153,1:19:00,2.0,1.189,0.103,-0.58,0.299
154,1:19:30,1.9,1.192,0.103,-0.59,0.289
155,1:20:00,1.9,1.196,0.103,-0.59,0.289
156,1:20:30,1.9,1.199,0.102,-0.59,0.289
157,1:21:00,1.9,1.202,0.102,-0.59,0.289
158,1:21:30,1.9,1.206,0.102,-0.59,0.289
159,1:22:00,1.9,1.209,0.102,-0.59,0.289
160,1:22:30,1.9,1.212,0.102,-0.6,0.279
161,1:23:00,1.9,1.215,0.103,-0.6,0.279
162,1:23:30,1.9,1.218,0.102,-0.6,0.279
163,1:24:00,1.9,1.22,0.102,-0.6,0.279
164,1:24:30,1.9,1.222,0.102,-0.6,0.279
165,1:25:00,1.9,1.224,0.102,-0.6,0.279
166,1:25:30,1.9,1.226,0.102,-0.6,0.279
167,1:26:00,1.9,1.228,0.102,-0.6,0.279
168,1:26:30,1.9,1.23,0.102,-0.6,0.279
169,1:27:00,1.9,1.231,0.102,-0.6,0.279
170,1:27:30,1.9,1.233,0.102,-0.6,0.279
171,1:28:00,1.9,1.235,0.102,-0.6,0.279
