tempo,temperatura,1,2,3
1:14:00,2.4,1.143,0.103,-0.57
1:14:30,2.4,1.152,0.103,-0.57
1:15:00,2.0,1.161,0.103,-0.57
1:15:30,2.0,1.166,0.103,-0.58
1:16:00,2.0,1.169,0.103,-0.58
1:16:30,2.0,1.173,0.103,-0.58
1:17:00,2.0,1.175,0.103,-0.58
1:17:30,2.0,1.180,0.103,-0.58
1:18:00,2.0,1.183,0.103,-0.58
1:18:30,2.0,1.186,0.103,-0.58
1:19:00,2.0,1.189,0.103,-0.58
1:19:30,1.9,1.192,0.103,-0.59
1:20:00,1.9,1.196,0.103,-0.59
1:20:30,1.9,1.199,0.102,-0.59
1:21:00,1.9,1.202,0.102,-0.59
1:21:30,1.9,1.206,0.102,-0.59
1:22:00,1.9,1.209,0.102,-0.59
1:22:30,1.9,1.212,0.102,-0.60
1:23:00,1.9,1.215,0.103,-0.60
1:23:30,1.9,1.218,0.102,-0.60
1:24:00,1.9,1.220,0.102,-0.60
1:24:30,1.9,1.222,0.102,-0.60
1:25:00,1.9,1.224,0.102,-0.60
1:25:30,1.9,1.226,0.102,-0.60
1:26:00,1.9,1.228,0.102,-0.60
1:26:30,1.9,1.230,0.102,-0.60
1:27:00,1.9,1.231,0.102,-0.60
1:27:30,1.9,1.233,0.102,-0.60
1:28:00,1.9,1.235,0.102,-0.60
