Actuator_mm,load_kN,Time_sec
0.0046730560825381,0.150661254882813,0.1416015625
0.00683379630572745,0.241232955932617,0.2412109375
0.00811594054539455,0.316862274169922,0.3408203125
0.0103467928056489,0.3934111328125,0.4404296875
0.0125411297631217,0.487830474853516,0.5400390625
0.0144481855386402,0.567815246582031,0.6396484375
0.0157300437422236,0.643254516601563,0.7392578125
0.0182986277650343,0.728077880859375,0.8388671875
0.0200524718820816,0.807334289550781,0.9384765625
0.022328998966259,0.883829650878906,1.0380859375
0.024377286536037,0.960315673828125,1.1376953125
0.0264527625404298,1.05655944824219,1.2373046875
0.0275099209829932,1.138068359375,1.3369140625
0.0311952207994182,1.22045129394531,1.4365234375
0.0319564787787385,1.29989636230469,1.5361328125
0.0341741761076264,1.37939221191406,1.6357421875
0.036971403460484,1.46389367675781,1.7353515625
0.0381878344342113,1.54528845214844,1.8349609375
0.0401263605454005,1.62843725585938,1.9345703125
0.0416225229855627,1.69948706054688,2.0341796875
0.0438987226516474,1.78179235839844,2.1337890625
0.0459551556559745,1.85828747558594,2.2333984375
0.0478977999591734,1.94273034667969,2.3330078125
0.0499535490234848,2.02197546386719,2.4326171875
0.0514922248839866,2.10157983398438,2.5322265625
0.0542965317436028,2.18472143554688,2.6318359375
0.0558817191631533,2.2590546875,2.7314453125
0.0584455265197903,2.34271630859375,2.8310546875
0.0603461412538309,2.42437963867188,2.9306640625
0.0625225875410251,2.49792260742188,3.0302734375
0.0639600184513256,2.58496948242188,3.1298828125
0.0658823410049081,2.6649404296875,3.2294921875
0.0683693215250969,2.741615234375,3.3291015625
0.0699313895893283,2.827837890625,3.4287109375
0.072819966590032,2.903224609375,3.5283203125
0.0742114934837446,2.98181176757813,3.6279296875
0.0768185054766946,3.06910986328125,3.7275390625
0.0774719010223635,3.1362265625,3.8271484375
0.080291967606172,3.2134462890625,3.9267578125
0.0824947201181203,3.29315307617188,4.0263671875
0.0837734551168978,3.37565747070313,4.1259765625
0.0863142049638554,3.45374536132813,4.2255859375
0.087473206804134,3.53761450195313,4.3251953125
0.0902445535757579,3.6000888671875,4.4248046875
0.0920474267331883,3.68217651367188,4.5244140625
0.0944426501519047,3.76048583984375,4.6240234375
0.0965053986874409,3.84901586914063,4.7236328125
0.0976715164142661,3.92089526367188,4.8232421875
0.100964221928734,4.00329541015625,4.9228515625
0.102554040495306,4.092099609375,5.0224609375
0.103750193375163,4.15338623046875,5.1220703125
0.106597341073211,4.23103759765625,5.2216796875
0.109108303149696,4.31488623046875,5.3212890625
0.110202796349768,4.38441162109375,5.4208984375
0.112380701466464,4.4646396484375,5.5205078125
0.114479073090479,4.53929638671875,5.6201171875
0.116156494186725,4.61559521484375,5.7197265625
0.118674484838266,4.6816865234375,5.8193359375
0.120979515486397,4.77673681640625,5.9189453125
0.122227167594247,4.84227099609375,6.0185546875
0.123594043543562,4.93093505859375,6.1181640625
0.126092287246138,4.98983349609375,6.2177734375
0.128506071632728,5.07289208984375,6.3173828125
0.130115862702951,5.15340869140625,6.4169921875
0.132725428557023,5.22915087890625,6.5166015625
0.134206580696628,5.29483984375,6.6162109375
0.136949587613344,5.369484375,6.7158203125
0.137976734549738,5.45022705078125,6.8154296875
0.140398202347569,5.53128564453125,6.9150390625
0.141624783282168,5.59473095703125,7.0146484375
0.144595906022005,5.66726318359375,7.1142578125
0.145888960105367,5.7439794921875,7.2138671875
0.148588937008753,5.826603515625,7.3134765625
0.150108418893069,5.89382666015625,7.4130859375
0.15289215662051,5.98141943359375,7.5126953125
0.154274748638272,6.05891064453125,7.6123046875
0.155939909745939,6.13392724609375,7.7119140625
0.157508460688405,6.20887255859375,7.8115234375
0.159762581461109,6.28756103515625,7.9111328125
0.162034077220596,6.3647138671875,8.0107421875
0.163836608408019,6.43719091796875,8.1103515625
0.166912854183465,6.5071748046875,8.2099609375
0.166904254001565,6.58572998046875,8.3095703125
0.168483078596182,6.65625732421875,8.4091796875
0.17225812189281,6.73643310546875,8.5087890625
0.17337899771519,6.795005859375,8.6083984375
0.176572531927377,6.8825400390625,8.7080078125
0.177933281520382,6.9540595703125,8.8076171875
0.180768387508579,7.03892919921875,8.9072265625
0.182637755642645,7.115166015625,9.0068359375
0.182787727680989,7.19330859375,9.1064453125
0.185889992280863,7.2571884765625,9.2060546875
0.187778292456642,7.34164013671875,9.3056640625
0.190340229892172,7.41507568359375,9.4052734375
0.191882907529362,7.4885029296875,9.5048828125
0.194282474694774,7.5668466796875,9.6044921875
0.194677704712376,7.642634765625,9.7041015625
0.198724126676098,7.71805517578125,9.8037109375
0.199841539142653,7.79154736328125,9.9033203125
0.201654722332023,7.8596484375,10.0029296875
0.204088340979069,7.9356474609375,10.1025390625
0.20586809841916,8.0126201171875,10.2021484375
0.20764785585925,8.0880947265625,10.3017578125
0.209051053388976,8.1704443359375,10.4013671875
0.212168073630892,8.23157421875,10.5009765625
0.213796593016014,8.3059091796875,10.6005859375
0.215094565646723,8.3907646484375,10.7001953125
0.218612680328079,8.4501083984375,10.7998046875
0.220243746298365,8.533802734375,10.8994140625
0.22233153868001,8.6035908203125,10.9990234375
0.223361916141585,8.677779296875,11.0986328125
0.226002390263602,8.7457607421875,11.1982421875
0.226591146201827,8.8178251953125,11.2978515625
0.230299337999895,8.8983193359375,11.3974609375
0.232187492656522,8.9605224609375,11.4970703125
0.234031962463632,9.02719140625,11.5966796875
0.236506501096301,9.109740234375,11.6962890625
0.237734930124134,9.182884765625,11.7958984375
0.239339715335518,9.24871484375,11.8955078125
0.241656583966687,9.33166015625,11.9951171875
